seq_page_links;link_to_voting_record;law_id;record_id
http://parlament.ba/olaw/OLawDetails?lawId=58301;http://parlament.ba/oLaw/GetOwisDocument/?documentId=196272&data=35EDC2E071A6140D83194B7163913D96&lang=bs;58301;196272
http://parlament.ba/olaw/OLawDetails?lawId=58301;http://parlament.ba/oLaw/GetOwisDocument/?documentId=198550&data=F2B99C584213C15B8649E281A671A9F6&lang=bs;58301;198550
http://parlament.ba/olaw/OLawDetails?lawId=58217;http://parlament.ba/oLaw/GetOwisDocument/?documentId=198488&data=291743D5AA68513A2C9FB7C76EB94057&lang=bs;58217;198488
http://parlament.ba/olaw/OLawDetails?lawId=58217;http://parlament.ba/oLaw/GetOwisDocument/?documentId=200623&data=732137596453BC9984A237290DA8047A&lang=bs;58217;200623
http://parlament.ba/olaw/OLawDetails?lawId=58217;http://parlament.ba/oLaw/GetOwisDocument/?documentId=202305&data=31E3AA86E2D6C766A01904C9047E9455&lang=bs;58217;202305
http://parlament.ba/olaw/OLawDetails?lawId=58217;http://parlament.ba/oLaw/GetOwisDocument/?documentId=202306&data=55DDF5BC60EE4A117AD592E7E8FEADCD&lang=bs;58217;202306
http://parlament.ba/olaw/OLawDetails?lawId=58217;http://parlament.ba/oLaw/GetOwisDocument/?documentId=191068&data=A12DA4E3D937BD89D436AFF79649C715&lang=bs;58217;191068
http://parlament.ba/olaw/OLawDetails?lawId=58217;http://parlament.ba/oLaw/GetOwisDocument/?documentId=193120&data=9FDDC33382587C537CA6A1C480FE9C6D&lang=bs;58217;193120
http://parlament.ba/olaw/OLawDetails?lawId=58034;http://parlament.ba/oLaw/GetOwisDocument/?documentId=181064&data=A73837A7B2821752FDA3C6AD9770AFE9&lang=bs;58034;181064
http://parlament.ba/olaw/OLawDetails?lawId=58034;http://parlament.ba/oLaw/GetOwisDocument/?documentId=183652&data=EDCF2BA36DFC9C92DA47633129E9AE06&lang=bs;58034;183652
http://parlament.ba/olaw/OLawDetails?lawId=58034;http://parlament.ba/oLaw/GetOwisDocument/?documentId=183653&data=C8BD35D16FAEFC42F2F0649C513F63D8&lang=bs;58034;183653
http://parlament.ba/olaw/OLawDetails?lawId=58034;http://parlament.ba/oLaw/GetOwisDocument/?documentId=177457&data=7D7CE4244E96B2E2191FE616ACFBC486&lang=bs;58034;177457
http://parlament.ba/olaw/OLawDetails?lawId=58034;http://parlament.ba/oLaw/GetOwisDocument/?documentId=180468&data=EC6FE63D86894EFC997065930E3263BC&lang=bs;58034;180468
http://parlament.ba/olaw/OLawDetails?lawId=57845;http://parlament.ba/oLaw/GetOwisDocument/?documentId=180470&data=E1BB86B2AAB11D29CCFD4341FD89B847&lang=bs;57845;180470
http://parlament.ba/olaw/OLawDetails?lawId=57622;http://parlament.ba/oLaw/GetOwisDocument/?documentId=181072&data=03D29CA1F6C7371F83F62C9C68735FF6&lang=bs;57622;181072
http://parlament.ba/olaw/OLawDetails?lawId=57622;http://parlament.ba/oLaw/GetOwisDocument/?documentId=183665&data=0960E9068230021A3A651FB55A06F1CC&lang=bs;57622;183665
http://parlament.ba/olaw/OLawDetails?lawId=57622;http://parlament.ba/oLaw/GetOwisDocument/?documentId=186006&data=CB0E53235EC800624FD556E466CB944A&lang=bs;57622;186006
http://parlament.ba/olaw/OLawDetails?lawId=57622;http://parlament.ba/oLaw/GetOwisDocument/?documentId=187684&data=E32C4F64F141B4B52CA651DE50951FED&lang=bs;57622;187684
http://parlament.ba/olaw/OLawDetails?lawId=57622;http://parlament.ba/oLaw/GetOwisDocument/?documentId=187685&data=0DF82BF415464656725AA975A9BE4C7A&lang=bs;57622;187685
http://parlament.ba/olaw/OLawDetails?lawId=57622;http://parlament.ba/oLaw/GetOwisDocument/?documentId=187686&data=4CAEA95C23E218FBF2B694E3646D4579&lang=bs;57622;187686
http://parlament.ba/olaw/OLawDetails?lawId=57622;http://parlament.ba/oLaw/GetOwisDocument/?documentId=175595&data=F9891EDAFCDBD2F28537B9E3AAD8FC7F&lang=bs;57622;175595
http://parlament.ba/olaw/OLawDetails?lawId=57622;http://parlament.ba/oLaw/GetOwisDocument/?documentId=177452&data=573DC46ED4F055FE48F3211E17C4D8CE&lang=bs;57622;177452
http://parlament.ba/olaw/OLawDetails?lawId=57621;http://parlament.ba/oLaw/GetOwisDocument/?documentId=185986&data=AC25B9B0DBC8BB19C0F3251504AAFBF2&lang=bs;57621;185986
http://parlament.ba/olaw/OLawDetails?lawId=57621;http://parlament.ba/oLaw/GetOwisDocument/?documentId=187683&data=997FD293B27B4939DBF25910EE038774&lang=bs;57621;187683
http://parlament.ba/olaw/OLawDetails?lawId=57621;http://parlament.ba/oLaw/GetOwisDocument/?documentId=175594&data=825DBFE0AC9C746A4FB41CDFC34F94AA&lang=bs;57621;175594
http://parlament.ba/olaw/OLawDetails?lawId=57621;http://parlament.ba/oLaw/GetOwisDocument/?documentId=179742&data=0078126CF0EAF7749D0DE346EE47F404&lang=bs;57621;179742
http://parlament.ba/olaw/OLawDetails?lawId=57614;http://parlament.ba/oLaw/GetOwisDocument/?documentId=181065&data=187AE4397645C987420641D8C186D8E0&lang=bs;57614;181065
http://parlament.ba/olaw/OLawDetails?lawId=57614;http://parlament.ba/oLaw/GetOwisDocument/?documentId=183659&data=D2A159DB7F030DDC704A0F2AD0A28A23&lang=bs;57614;183659
http://parlament.ba/olaw/OLawDetails?lawId=57614;http://parlament.ba/oLaw/GetOwisDocument/?documentId=183660&data=06A54C0440DB7DF5F5E406760C27F574&lang=bs;57614;183660
http://parlament.ba/olaw/OLawDetails?lawId=57614;http://parlament.ba/oLaw/GetOwisDocument/?documentId=183662&data=768125861FFCCE354A8E0CFF6C9D36B3&lang=bs;57614;183662
http://parlament.ba/olaw/OLawDetails?lawId=57614;http://parlament.ba/oLaw/GetOwisDocument/?documentId=187689&data=7193B86D0C5C3624EA580BF9696643F3&lang=bs;57614;187689
http://parlament.ba/olaw/OLawDetails?lawId=57614;http://parlament.ba/oLaw/GetOwisDocument/?documentId=175593&data=AC16CBEC026E2796A7F2958F0BAFBFC6&lang=bs;57614;175593
http://parlament.ba/olaw/OLawDetails?lawId=57614;http://parlament.ba/oLaw/GetOwisDocument/?documentId=177447&data=ED62EF7C33B661230743E0B9A4BFFA66&lang=bs;57614;177447
http://parlament.ba/olaw/OLawDetails?lawId=57614;http://parlament.ba/oLaw/GetOwisDocument/?documentId=186834&data=E4B1F85A578021F45A3D23D6895B7EA8&lang=bs;57614;186834
http://parlament.ba/olaw/OLawDetails?lawId=57614;http://parlament.ba/oLaw/GetOwisDocument/?documentId=191071&data=AD75AFF1AE404DAB00B181C3388C087B&lang=bs;57614;191071
http://parlament.ba/olaw/OLawDetails?lawId=57580;http://parlament.ba/oLaw/GetOwisDocument/?documentId=176776&data=7E29644E5E7DCA86F0AB71210C9E70DE&lang=bs;57580;176776
